id_transacao,descricao_produtos
192,BERMUDA DE MOLETOM Á SELFIE;BERMUDA TACTEL COM CORDAO MONTANHA RUSSA
193,TOALHA LISA DE ROSTO
194,REGATA CANELADA MANIA VISUAL LD CL KIDS;SHORT JUVENIL NACLEFS MODA FASHION
195,CAMISA BRANCA SOCIAL LINHO ROTAS
196,REGATA MACHAO SERGIO MODAS;SHORT TACTEL ITALICOMAR DE PRATA
197,CALCINHA ALGODÃO LISA LUZIANE
198,BERMUDA DE LINHO DIFERENTE KIDS;BERMUDA MAURICINHO LINHO MGRMGLUPMETAMANIA;CALAA SARUEL MALHAS ISENSEE;CALÇA MOLETOM REF TOCAIA;CAMISA REGATA ITALICO;CAMISETA MALHA NEW AMSTERDAM AMARELO ROSITA;CAMISETA MEIA MALHA PENTEADA BORDADINOS SALMAO ALAKAZOO;CUECA DOM MATHEUS COM CÓS;CUECA LISA HAOS CONFECÇÕES;CUECA TRADICIONAL DOM MATHEUS;REGATA KYLY
199,BABY DOLL JUVENIL DURMA COM STYLO;CALCINHA LISA JUVENIL LUZIANE;CONJ SHORT E BLUSA REBEKIDS;CONJUNTO MEIA MALHA PENTEADA VOANDO AZUL;REGATA CANELADA MANIA VISUAL LD CL KIDS;REGATA MALHA FRIA L&D;SHORT JUVENIL NACLEFS MODA FASHION
200,CAMISA MANGA CURTA TALENTO KIDS;CONJUNTO PROTEÇÃO UV +
201,SALDO TROCADOR PORTATIL
202,REGATA CANELADA MANIA VISUAL LD CL KIDS;SHORT JUVENIL NACLEFS MODA FASHION
203,SHORT ALGODÃO ELASTICO LISO MIC
204,SUTIÃ SPORT COKIT
205,CALCINHA ALGODÃO LISA LUZIANE
206,CALCINHA ALGODÃO LISA LUZIANE;LEGUE CURTA LISA D'VYSTEK;REGATA MALHA FRIA L&D;SHORT RETO ESTAMPADO MICOL BABY
207,CAMISETA BICHINHOS MIC MODA;SHORT ALGODÃO ELASTICO LISO MIC;SHORT FRANZIDO MIC MODA INFANTIL
208,MEIA SAPATILHA COLORIDA - FEM PIMPOLHO ROSAGATINHA;MEIA SAPATILHA COLORIDA - MAS PIMPOLHO BRANCATROVAO;REGATA CANELADA MANIA VISUAL LD CL KIDS
209,LEGUE CURTA LISA D'VYSTEK;LEGUE MEIA COXA ESTAMPADA D'VYSTEK;REGATA MALHA FRIA L&D
210,SUTIÃ JADE INTIMATE KANGYADIEZI
211,CAMISA MULTIMARCA BORDADO SP;PAGAO C PEÇAS EDUARDO MECBEE;SALDO CALÇADOS PIMPOLHO
